Date,Actual,LGBM_Pred,LGBM_Lower_90,LGBM_Upper_90
2025-05-28 05:00:00,13700.0,13646.805974322308,13545.213494691096,14126.317696174698
2025-05-28 06:00:00,13660.0,13565.796366120345,13233.4843765634,13678.976396145446
2025-05-28 07:00:00,13200.0,13644.594127071974,13297.628448462512,13788.44013309068
2025-05-28 08:00:00,13500.0,13369.484688987362,12921.076336709839,13555.049546375145
2025-05-28 09:00:00,13800.0,13659.48149660896,13260.589702626645,13876.316495740853
2025-05-28 10:00:00,14140.0,14051.128753084256,13777.361002692725,14321.550875798854
2025-05-28 11:00:00,14500.0,14444.669338781869,14086.922711577947,14709.735556157282
2025-05-28 12:00:00,14760.0,14657.02586051283,14300.60205801552,14902.202556151871
2025-05-28 13:00:00,14750.0,14872.22138751839,14525.123278544392,15107.515669004497
2025-05-28 14:00:00,14800.0,14942.535616474945,14531.345185932158,15136.050600028051
2025-05-28 15:00:00,14375.0,14776.193222858188,14423.557628322953,14977.556120120043
2025-05-28 16:00:00,13600.0,14182.297872606627,13816.32228912346,14328.426337985666
2025-05-28 17:00:00,12869.0,13450.5506844202,12829.018357444336,13688.201493723524
2025-05-28 18:00:00,15090.0,14641.171295336555,13713.91540089102,15133.106760623055
2025-05-28 19:00:00,15450.0,15376.777146096301,14805.796041144005,15610.168227474422
2025-05-28 20:00:00,15800.0,15750.520958335606,15121.096300796877,15941.667194940916
2025-05-28 21:00:00,15530.0,16003.41849843524,15121.096300796877,16239.886238454108
2025-05-28 22:00:00,15490.0,15608.000856293842,15121.096300796877,15837.79758776562
2025-05-28 23:00:00,15280.0,15531.565800382099,15121.096300796877,15695.465855163591
2025-05-29 00:00:00,14780.0,15037.456148079556,14821.897632293392,15231.82134771946
2025-05-29 01:00:00,14230.0,14573.671818373525,14245.403746508213,14708.001335842395
2025-05-29 02:00:00,13780.0,13945.734797346346,13642.485261313435,14212.778195491652
2025-05-29 03:00:00,13450.0,13524.590890281017,13270.625439492998,13735.608647858291
2025-05-29 04:00:00,12920.0,13203.903189201514,12982.58982102652,13395.1517365841
2025-05-29 05:00:00,12050.0,12486.816646297317,12217.879030415876,12767.868601189957
2025-05-29 06:00:00,11670.0,11951.435002815133,11463.162065967574,12297.032325686796
2025-05-29 07:00:00,11060.0,11828.009846455034,11358.507752813528,12312.615626699619
2025-05-29 08:00:00,10745.0,11534.051245473764,11019.982285982554,12210.501439221473
2025-05-29 09:00:00,10770.0,11249.601825499618,10819.596751408835,11884.991042203721
